1048576;4532;30371;8956904;25883089;5124;6718195;1137869;32128;1136030;39956;2231587;0.574
1048576;9520;19079;7312410;21396706;5249;5600057;1100478;25131;615248;22236;1704544;0.258
262144;340;6031;1501662;4476579;5327;1173920;269889;16778;26326;4322;313538;0.086
1048576;144978;17308;7056791;20701010;5387;5425787;1094714;24310;534714;20090;1621960;0.306
1048576;16065;47048;11195041;31990958;5147;8249297;1194625;42625;1831666;57983;2954385;0.360
262144;30699;38687;5852259;16342991;5153;4142566;377318;36096;1386744;44457;1712022;0.185
262144;1632;12339;2409594;6952109;5141;1793259;291126;20463;311660;12468;606343;0.107
262144;1800;5623;1420329;4250744;5072;1118343;267888;15793;843;3027;287618;0.074
4194304;26468;200898;48919245;139216054;5063;35838315;4867961;143491;8730102;262981;13187156;1.559
1048576;32214;65093;13871780;39300733;5225;10075685;1257687;55166;2672784;82985;3817637;0.391
262144;66528;78198;11883527;32814225;5303;8257096;516673;64358;3284606;100480;3658162;0.318
1048576;8316;27038;7588395;22127140;5063;5787952;1115113;24996;690462;25719;1783969;0.250
4194304;6558;52353;27935755;81926804;5105;21514560;4354859;45932;2157848;72948;6422092;1.035
262144;1512;8945;1917330;5608895;5177;1457443;279524;18297;157040;7954;447658;0.084
4194304;129256;645328;113009140;314174340;5240;79565862;6394347;439439;28843643;854792;33839728;2.986
1048576;3350;13457;6126913;18150767;5063;4791372;1076305;18952;237990;11140;1319149;0.210
4194304;1610;11025;21729468;64992567;5063;17286029;4216508;18517;199638;10770;4425624;0.891
1048576;4131;14937;6248271;18480267;5063;4874243;1080260;19451;274710;12303;1357312;0.206
1048576;10045;29768;8893529;25714438;5327;6678834;1137655;32596;1112014;37040;2214268;0.282
1048576;6270;19075;6588671;19405280;5063;5106862;1091684;20919;377526;15430;1464587;0.235
262144;57812;17589;3118913;8888172;5279;2277175;308402;23976;533454;19358;833723;0.116
4194304;4070;20277;23221830;69070813;5114;18304293;4250548;25647;670181;24557;4908250;0.904
4194304;187726;410290;75867902;212727497;5078;54229802;5551731;266828;17135825;510063;21840193;2.146
262144;10611;14471;2740783;7857607;5264;2019197;298652;22271;415843;15782;712806;0.102
1048576;82521;49244;11698264;33371139;5399;8592538;1204482;45659;1992094;63100;3117677;0.351
4194304;396180;245433;55245150;156480223;5234;40152987;5017453;172934;10714365;321514;15222335;1.633
4194304;21930;57136;28126341;82449128;5165;21650270;4370845;47853;2203972;70640;6483553;1.044
1048576;9432;26264;8301643;24094890;5171;6275023;1124478;29457;925098;31180;2022968;0.311
4194304;1730775;436468;80165653;224470284;5213;57161670;5647725;287133;18492572;550182;23229873;2.178
262144;185;6921;1607679;4764229;5081;1242777;272206;16668;63168;7556;346095;0.080
1048576;29214;273361;44036466;121650926;5063;30657152;1976162;193674;12142206;362457;13542050;1.148
1048576;1568;8245;5768682;17181365;5243;4546369;1062729;17848;131562;8308;1206949;0.202
262144;18620;23051;3776326;10678669;5141;2725855;325519;26584;738020;25210;1044682;0.123
1048576;77328;28855;8775640;25394473;5435;6598545;1135013;32348;1074922;36135;2176128;0.300
4194304;197726;270741;57973962;163917727;5105;42017681;5096743;185171;11555312;345784;16095016;2.761
4194304;26884;81675;29265771;85522290;5063;22431864;4430524;52238;2523198;80138;6829352;1.052
1048576;7788;27193;8479238;24581018;5186;6396304;1128334;30313;981509;32951;2080760;0.275
1048576;8208;42529;10574739;30291939;5087;7824476;1176508;39060;1639478;53519;2753394;0.309
4194304;26750;68755;30272122;88316085;5291;23113647;4415926;58153;2884762;91011;7179209;1.077
4194304;2810;18506;22993626;68443785;5135;18147420;4242540;24206;600318;23456;4833561;0.926
4194304;15552;41735;24593218;72777294;5063;19240414;4301527;30432;1076022;38546;5331710;0.980
4194304;198990;510275;92721971;258781423;5078;65726232;5923387;345378;22463489;666878;27296159;2.489
1048576;288716;136343;24310935;67802247;5411;17197933;1504144;103750;5951330;179791;7182476;0.621
4194304;313038;742435;106749686;296763426;5093;75325843;6511428;404354;26557876;789805;31634593;2.809
1048576;109335;353389;49340131;136025749;5069;34285032;2183474;216234;13707500;408894;15191667;1.196
4194304;53181;281137;57872953;163614561;5087;41950546;5114288;184084;11498798;344493;16047034;1.661
4194304;1743364;518159;94292856;263073680;5342;66796635;5953026;353280;22963377;681474;27803620;2.500
1048576;52932;169689;26344939;73302635;5132;18588370;1586157;111057;6548039;198616;7811668;0.673
4194304;21440;51368;25237619;74525585;5063;19681465;4327147;33277;1266150;44048;5532735;0.957
4194304;19236;77934;30704965;89483521;5141;23410785;4438782;59707;3006092;94020;7311286;1.048
4194304;492609;1682021;223524125;615264689;5063;155033179;9549283;938390;62904342;1859565;69098815;5.398
