1048576;51513;65589;14090799;39919877;5051;10226843;1274113;55813;2741779;91271;3887584;0.439
1048576;148400;147528;25940155;72297390;5051;18314319;1574127;110343;6458251;210142;7703466;0.702
4194304;16008;123811;38203348;110010444;5051;28529973;4632819;94334;5368891;176725;9732271;1.302
1048576;4964;48675;11594548;33100327;5051;8523307;1212085;44367;1958011;66353;3083835;0.347
4194304;1364;18593;22971772;68391820;5051;18134053;4247507;24324;591211;23667;4827227;0.915
4194304;113016;301746;63974507;180428971;5051;46119742;5285214;213118;13451779;434232;18031912;1.851
4194304;220545;1957204;303230041;834197739;5051;209424260;11355268;1315984;88483795;2827482;95086706;7.303
4194304;5616;58283;28707776;84064536;5051;22048889;4392579;50626;2390491;81629;6674243;9.185
262144;20574;35456;5774195;16145926;5051;4089699;377181;35675;1367227;46846;1689670;0.173
1048576;10920;48560;11589937;33087335;5051;8520083;1211620;44336;1956787;66278;3082274;0.344
4194304;71073;500050;92648751;258781533;5051;65691561;6012709;345190;22444507;721396;27266950;2.504
4194304;23621;216740;51611303;146643729;5051;37680311;4971297;155524;9575371;313574;14048930;1.575
1048576;86562;358448;56469596;155718547;5051;39152221;2347818;251018;16033195;515466;17535831;1.397
1048576;89902;214440;35617936;98741993;5051;24920119;1819607;154938;9493363;306966;10820361;0.889
1048576;66865;27274;8525774;24714393;5051;6428618;1133702;30234;995947;35460;2095473;0.279
1048576;84840;83788;16721359;47107929;5051;12022389;1340888;67926;3566755;117634;4734812;0.467
4194304;55440;508913;93847760;262060272;5051;66510491;6045279;350800;22819051;733523;27653471;2.541
4194304;49322;422525;81383157;227999945;5051;58002524;5728410;293355;18910411;608675;23638960;2.217
4194304;401940;1057882;173356843;479315200;5051;120778842;8058124;717221;47756419;1528196;53259532;4.320
262144;20608;32874;5389778;15095832;5051;3827408;367702;33923;1246459;42984;1565901;0.208
1048576;291237;122753;22359432;62513725;5051;15870602;1483650;93917;5335027;173987;6550513;0.583
4194304;311094;1051212;172292592;476409519;5051;120052447;8033367;712392;47421043;1517826;52916961;4.291
1048576;650225;310611;49538576;136778540;5051;34420856;2171572;218980;13859779;446625;15303105;1.221
1048576;25432;87133;17180444;48363151;5051;12336019;1353364;69995;3710371;122559;4882897;0.463
4194304;63545;187214;47354906;135017215;5051;34776307;4865082;136520;8238763;268336;12679525;1.422
4194304;248;8344;21491280;64346359;5051;17123528;4209912;17514;126907;8794;4350407;0.858
4194304;327375;2963168;448619375;1231476477;5051;308660396;15044194;1986210;134078611;4281598;141911136;10.653
4194304;224790;324314;67285726;189476114;5051;48379999;5368496;228301;14490955;467384;19098493;1.910
1048576;6923;20700;7551190;22051807;5051;5763451;1109446;25758;689947;25790;1781589;0.246
1048576;66676;68083;14417704;40813907;5051;10450057;1283142;57337;2843779;94669;3992917;0.433
262144;89181;25194;4292441;12097106;5051;3078380;339628;28855;902515;31972;1212502;0.153
1048576;17440;30972;9040733;26122164;5051;6780280;1147378;32603;1157107;40742;2261474;0.316
1048576;53592;46971;11391806;32545145;5051;8384733;1205869;43393;1895179;64233;3018393;0.377
4194304;55106;363485;72835440;204643942;5051;52168864;5512845;253658;16229851;524463;20886731;2.009
262144;5256;9241;1957827;5718784;5051;1485118;281211;18162;169747;8503;460784;0.108
1048576;17746;113152;20920236;58582708;5051;14888728;1448921;87163;4882963;160378;6087513;0.587
1048576;18772;32127;9219611;26610574;5051;6902278;1151563;33426;1213411;42469;2319004;0.278
4194304;586820;2100877;324037817;891054938;5051;223626937;11882758;1411866;95009755;3035487;101788372;7.703
4194304;1097928;444883;84681950;237011306;5051;60253377;5809872;308482;19946323;641617;24700755;2.366
262144;1890;20193;3544619;10054507;5051;2568174;321361;25443;667507;24491;971804;0.125
1048576;1598;11156;6171314;18281677;5051;4821758;1074675;19430;257059;11850;1337343;0.229
1048576;35650;28051;8627668;24992982;5051;6498228;1136479;30700;1027771;36557;2128279;0.271
1048576;54483;197173;33141264;91974232;5051;23229579;1756575;143484;8716939;282231;10022839;0.857
1048576;34773;226886;37356692;103493727;5051;26106757;1864626;162892;10038043;324976;11380147;0.934
4194304;393499;1791749;279353986;768952975;5051;193126620;10747149;1205813;80997403;2588939;87396033;6.657
262144;2765;7082;1636135;4841871;5051;1262478;273220;16728;71827;7715;355454;0.078
4194304;214656;1476024;233675820;644140599;5051;161950770;9592568;994738;66671707;2134378;72687131;5.714
4194304;675740;4479874;668042358;1831046515;5051;458426415;20604833;2997826;202894339;6474488;212577379;16.768
262144;280;6596;1569296;4657366;5051;1219954;271536;16391;47755;4570;335695;9.153
262144;78480;39712;6399441;17854191;5051;4516449;392840;38544;1563475;53094;1891034;0.183
1048576;46098;311195;49555588;136828602;5051;34433722;2174907;219160;13863451;446741;15309663;1.206
1048576;25070;23663;7988101;23245722;5051;6061799;1120528;27768;827035;30121;1922416;0.298
1048576;167696;398932;62314685;171690241;5051;43141750;2496278;277870;17866339;574346;19418330;1.535
4194304;199793;587843;105373326;293549416;5051;74375981;6333778;403792;26435971;848705;31364319;2.755
1048576;389337;42033;10669110;30570710;5051;7891500;1187785;40090;1668331;56939;2785693;0.345
1048576;90852;104082;19634722;55068835;5051;14010897;1415106;81304;4480267;147108;5673029;0.546
262144;8399;9846;2117145;6151982;5051;1592399;283243;18671;222379;11441;511122;0.087
4194304;45684;80856;32025247;93128597;5051;24313176;4475839;65848;3431707;114770;7742790;1.141
1048576;183456;188234;31857099;88465105;5051;22353021;1723722;137624;8314243;269096;9609184;0.800
1048576;39605;337321;53343106;147177726;5051;37018876;2270891;236526;15051547;484939;16529549;1.309
4194304;20748;6567;21253664;63696743;5051;16961322;4203531;16415;52651;6317;4273899;0.850
1048576;83072;389664;60924587;167893383;5051;42193476;2462267;271582;17429371;560242;18970818;1.446
262144;25308;12089;2372441;6851464;5051;1768013;291570;20048;299899;12739;594244;0.109
4194304;19411;184400;46936811;133874329;5051;34490794;4854438;134486;8107795;264670;12544684;1.613
4194304;1319604;347837;70633381;198625185;5051;50665510;5454911;243737;15539923;501151;20176950;1.989
4194304;54936;506627;93514160;261145968;5051;66281819;6035251;349026;22715419;731221;27544899;2.559
1048576;14036;28147;8635762;25015289;5051;6503774;1136881;30729;1030219;36705;2130941;0.274
262144;103572;63566;9838464;27251711;5051;6863925;480422;54388;2641819;87576;2998719;0.268
262144;147;6024;1486059;4429889;5051;1163111;269385;16016;21643;3706;308854;0.077
4194304;1192205;170298;44942438;128425494;5051;33130137;4803882;125445;7482331;243808;11903009;1.442
262144;3926;20165;3545364;10056153;5051;2568551;321105;25423;667915;24571;971919;0.165
1048576;63500;374419;58752414;161956778;5051;40710370;2406285;261496;16748827;538637;18271065;1.438
262144;1260;7451;1695284;5001490;5051;1305903;274624;16966;87331;5841;376229;0.077
1048576;25228;21585;7682579;22410869;5051;5853192;1112761;26377;731155;27027;1823940;0.278
4194304;49680;461447;86980896;243292072;5051;61822021;5868763;318670;20667259;666905;25440219;2.337
1048576;680;10160;6009822;17842895;5051;4708518;1071060;18728;209323;12809;1283663;0.211
4194304;5162;53342;27994634;82116794;5051;21562452;4374999;47427;2166499;74112;6444939;1.060
4194304;325896;1015273;167223966;462556514;5051;116592834;7902057;688918;45833515;1466835;51284389;4.199
1048576;124475;83021;17940292;50387424;5051;12845122;1334725;69048;3980059;140743;5119639;0.515
1048576;116616;29377;8832618;25552740;5051;6638049;1141397;31644;1092235;38531;2194273;0.300
4194304;9891;72304;30722387;89572151;5051;23421244;4445528;59288;3026563;107396;7322108;1.066
4194304;884760;6753188;996681808;2729055803;5051;682739671;28939361;4513216;305958403;9759266;318418237;23.279
1048576;6440;21625;7692696;22438380;5051;5860089;1112920;26410;734419;27159;1827189;0.258
4194304;106704;973457;160998512;445550256;5051;112344563;7749055;660144;43878379;1405939;49280319;4.107
